categoria_ruralidad_2024,cod_natujur,count_a,count_de,departamento,dinamica_2024,divipola,documento_justificativo,estado_folio,fecha_apertura_texto,fecha_radica_texto,matricula,municipio,nombre_natujur,num_anotacion,orip,pk,predios_nuevos,tiene_mas_de_un_valor,tiene_valor,tipo_predio_zona,valor,year_radica
Ciudades y aglomeraciones,310,1,2,BOGOTÁ D.C.,1,11001,01-ESCRITURA 5770 DE 12-08-2019; NOTARIA TREINTA Y OCHO DE BOGOTA D. C.,,1972-02-10 00:00:00,2019-09-13 00:00:00,50C-1639,BOGOTÁ D.C.,COMPRAVENTA USUFRUCTO,21,50C,11001-50C-001639-00021-00310-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,843,1,1,BOGOTÁ D.C.,0,11001,02-CERTIFICADO 1121 DE 25-03-2023; NOTARIA CUARENTA Y OCHO DE BOGOTA D.C.,,1972-02-10 00:00:00,2023-03-28 00:00:00,50C-1644,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,16,50C,11001-50C-001644-00016-00843-2023,0,0,1,URBANO,40000000,2023
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2318 DE 15-05-2023; NOTARIA VEINTISIETE DE BOGOTA D.C.,,1972-02-10 00:00:00,2023-06-02 00:00:00,50C-1644,BOGOTÁ D.C.,COMPRAVENTA,17,50C,11001-50C-001644-00017-00125-2023,0,0,1,URBANO,415000000,2023
Ciudades y aglomeraciones,843,1,1,BOGOTÁ D.C.,0,11001,02-CERTIFICADO 1121 DE 25-03-2023; NOTARIA CUARENTA Y OCHO DE BOGOTA D.C.,,1972-02-10 00:00:00,2023-03-28 00:00:00,50C-1651,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,15,50C,11001-50C-001651-00015-00843-2023,0,0,1,URBANO,40000000,2023
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2318 DE 15-05-2023; NOTARIA VEINTISIETE DE BOGOTA D.C.,,1972-02-10 00:00:00,2023-06-02 00:00:00,50C-1651,BOGOTÁ D.C.,COMPRAVENTA,17,50C,11001-50C-001651-00017-00125-2023,0,0,1,URBANO,415000000,2023
Ciudades y aglomeraciones,125,1,3,BOGOTÁ D.C.,1,11001,01-ESCRITURA 8687 DE 23-06-2023; NOTARIA VEINTINUEVE DE BOGOTA D.C.,,1972-02-10 00:00:00,2023-07-10 00:00:00,50C-1654,BOGOTÁ D.C.,COMPRAVENTA,21,50C,11001-50C-001654-00021-00125-2023,0,0,1,URBANO,16000000,2023
Ciudades y aglomeraciones,204,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1127 DE 06-03-2015; NOTARIA SETENTA Y TRES DE BOGOTA D. C.,,1972-01-25 00:00:00,2015-03-10 00:00:00,50C-1661,BOGOTÁ D.C.,HIPOTECA ABIERTA,23,50C,11001-50C-001661-00023-00204-2015,0,0,0,URBANO,,2015
Ciudades y aglomeraciones,843,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 5282 DE 22-09-2015; NOTARIA SETENTA Y TRES DE BOGOTA D. C.,,1972-01-25 00:00:00,2015-10-26 00:00:00,50C-1661,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,24,50C,11001-50C-001661-00024-00843-2015,0,0,0,URBANO,,2015
Ciudades y aglomeraciones,308,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1915 DE 09-09-2015; NOTARIA TREINTA Y CINCO DE BOGOTA D. C.,,1972-01-24 00:00:00,2020-03-10 00:00:00,50C-1662,BOGOTÁ D.C.,COMPRAVENTA NUDA PROPIEDAD,5,50C,11001-50C-001662-00005-00308-2020,0,0,0,URBANO,,2020
Ciudades y aglomeraciones,333,1,0,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1915 DE 09-09-2015; NOTARIA TREINTA Y CINCO DE BOGOTA D. C.,,1972-01-24 00:00:00,2020-03-10 00:00:00,50C-1662,BOGOTÁ D.C.,RESERVA DERECHO DE USUFRUCTO,6,50C,11001-50C-001662-00006-00333-2020,0,0,0,URBANO,,2020
